"Time","Value (ppm)"
"2024/07/22 13:15:00.000","532.717"
"2024/07/22 13:00:00.200","532.974"
"2024/07/22 12:45:00.000","532.974"
"2024/07/22 12:30:00.200","532.742"
"2024/07/22 12:15:00.100","532.020"
"2024/07/22 12:00:00.100","532.672"
"2024/07/22 11:45:00.100","439.926"
"2024/07/22 11:30:00.000","456.043"
"2024/07/22 11:15:00.200","462.881"
"2024/07/22 11:00:00.100","459.951"
"2024/07/22 10:45:00.000","444.810"
"2024/07/22 10:30:00.100","447.741"
"2024/07/22 10:15:00.000","443.833"
"2024/07/22 10:00:00.100","425.763"
"2024/07/22 09:45:00.100","418.925"
"2024/07/22 09:30:00.000","441.599"
"2024/07/22 09:15:00.100","403.785"
"2024/07/22 09:00:00.000","496.947"
"2024/07/22 08:45:00.100","484.737"
