"Time","Value (°C)"
"2024/07/22 15:45:00.000","11.6"
"2024/07/22 15:30:00.100","12.6"
"2024/07/22 15:15:00.100","13.6"
"2024/07/22 15:00:00.000","14.6"
"2024/07/22 14:45:00.200","15.7"
"2024/07/22 14:30:00.100","16.7"
"2024/07/22 14:15:00.200","10.5"
"2024/07/22 14:00:00.200","11.5"
"2024/07/22 13:45:00.000","12.7"
"2024/07/22 13:30:00.100","13.7"
"2024/07/22 13:15:00.000","10.4"
"2024/07/22 13:00:00.100","15.4"
"2024/07/22 12:45:00.100","17.8"
"2024/07/22 12:30:00.200","10.5"
"2024/07/22 12:15:00.100","17.22"
"2024/07/22 12:00:00.100","15.9"
"2024/07/22 11:45:00.000","19.5"
"2024/07/22 11:30:00.000","15.6"
"2024/07/22 11:15:00.100","15.8"
"2024/07/22 11:00:00.200","15.23"
"2024/07/22 10:45:00.200","17.3"
"2024/07/22 10:30:00.100","17.47"
"2024/07/22 10:15:00.100","17.41"
